--- ALL OBJECTS IN BLENDER FILE ---
Name: Chain_Loop, Type: MESH, Parent: None, Loc: <Vector (0.0000, 0.0017, 0.0000)>
Name: Drive_Left_BearingCap, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2450, -0.0768, 0.0000)>
Name: Drive_Left_EndGuard, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: Drive_Left_EndGuard_Screw_1.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2250, -0.0777, 0.0003)>
Name: Drive_Left_EndGuard_Screw_2.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2150, -0.0777, 0.0003)>
Name: Drive_Left_EndGuard_Screw_3.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2050, -0.0777, 0.0003)>
Name: Drive_Right_BearingCap, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2450, 0.0768, 0.0000)>
Name: Drive_Right_EndGuard, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: Drive_Right_EndGuard_Screw_3.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2211, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.002, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2110, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.003, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2013, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.004, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1838, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.005, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1715, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.006, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.1721, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.007, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.1839, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.008, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2039, 0.0724, 0.0043)>
Name: Drive_Right_EndGuard_Screw_3.009, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2143, 0.0709, 0.0042)>
Name: Drive_Right_EndGuard_Screw_3.010, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2250, 0.0709, 0.0042)>
Name: Driven_Left_BearingCap, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2450, -0.0768, 0.0000)>
Name: Driven_Left_EndGuard, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: Driven_Left_EndGuard_Screw_1.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2250, -0.0777, 0.0003)>
Name: Driven_Left_EndGuard_Screw_2.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2150, -0.0777, 0.0003)>
Name: Driven_Left_EndGuard_Screw_3.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2050, -0.0777, 0.0003)>
Name: Driven_Right_BearingCap, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2450, 0.0768, 0.0000)>
Name: Driven_Right_EndGuard, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: DT_System_Root, Type: EMPTY, Parent: None, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: DT_System_Root.001, Type: EMPTY, Parent: None, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: Left_A_Leg_Rect, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0171, 0.0000, 0.0000)>
Name: Left_A_Leg_Rect_Screw_1.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.1691, -0.0767, 0.0010)>
Name: Left_A_Leg_Rect_Screw_2.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.1851, -0.0767, 0.0010)>
Name: Left_B_Leg_Rect, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0000)>
Name: Left_B_Leg_Rect_Screw_1.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1680, -0.0767, 0.0010)>
Name: Left_B_Leg_Rect_Screw_2.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1520, -0.0767, 0.0010)>
Name: Main_Belt, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, -0.0000)>
Name: Main_Pulley_1, Type: MESH, Parent: MTR_00_Shaft, Loc: <Vector (-0.1768, 0.0782, -0.0400)>
Name: Main_Pulley_2, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2450, 0.0782, 0.0000)>
Name: Main_Roller_1, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.2450, 0.0000, 0.0000)>
Name: Main_Roller_2, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.2450, 0.0000, 0.0000)>
Name: MTR_00_Boss, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, 0.0740, -0.0400)>
Name: MTR_00_Shaft, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, 0.0815, -0.0400)>
Name: MTR_01_Gearbox, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, 0.0600, -0.0428)>
Name: MTR_02_Body, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, 0.0205, -0.0428)>
Name: MTR_03_EncoderBase, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, -0.0110, -0.0428)>
Name: MTR_04_EncoderCap, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1768, -0.0190, -0.0428)>
Name: Right_A_Leg_Rect, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0169, 0.0000, 0.0000)>
Name: Right_B_Leg_Rect, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.0175, 0.0000, 0.0000)>
Name: Right_B_Leg_Rect_Motor_Screw_M3_1.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1726, 0.0736, -0.0253)>
Name: Right_B_Leg_Rect_Motor_Screw_M3_2.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1837, 0.0736, -0.0253)>
Name: Right_B_Leg_Rect_Motor_Screw_M3_3.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1915, 0.0736, -0.0351)>
Name: Right_B_Leg_Rect_Motor_Screw_M3_4.001, Type: MESH, Parent: DT_System_Root, Loc: <Vector (-0.1632, 0.0736, -0.0357)>
Name: Roller_Drive_Aluminum_Bearing_Ring_Left, Type: MESH, Parent: Main_Roller_1, Loc: <Vector (-0.2450, -0.0690, 0.0000)>
Name: Roller_Drive_Aluminum_Bearing_Ring_Right, Type: MESH, Parent: Main_Roller_1, Loc: <Vector (-0.2450, 0.0690, 0.0000)>
Name: Roller_Drive_Aluminum_Shaft_Extension, Type: MESH, Parent: Main_Roller_1, Loc: <Vector (-0.2450, 0.0770, 0.0000)>
Name: Roller_Driven_PVC_Bearing_Ring_Left, Type: MESH, Parent: Main_Roller_2, Loc: <Vector (0.2450, -0.0690, 0.0000)>
Name: Roller_Driven_PVC_Bearing_Ring_Right, Type: MESH, Parent: Main_Roller_2, Loc: <Vector (0.2450, 0.0690, 0.0000)>
Name: Room_CeilingLight_0, Type: MESH, Parent: None, Loc: <Vector (0.0000, 0.4000, 0.8500)>
Name: Room_CeilingLight_1, Type: MESH, Parent: None, Loc: <Vector (0.0000, -0.4000, 0.8500)>
Name: Room_Column_0, Type: MESH, Parent: None, Loc: <Vector (0.9400, 0.9400, 0.3700)>
Name: Room_Column_1, Type: MESH, Parent: None, Loc: <Vector (-0.9400, 0.9400, 0.3700)>
Name: Room_Column_2, Type: MESH, Parent: None, Loc: <Vector (0.9400, -0.9400, 0.3700)>
Name: Room_Column_3, Type: MESH, Parent: None, Loc: <Vector (-0.9400, -0.9400, 0.3700)>
Name: Room_Floor, Type: MESH, Parent: None, Loc: <Vector (0.0000, 0.0000, -0.1400)>
Name: Room_Walls, Type: MESH, Parent: None, Loc: <Vector (0.0000, 0.0000, 0.3700)>
Name: SolidRail_Left_Exposed, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, -0.0000)>
Name: SolidRail_Right_Exposed, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, -0.0000)>
Name: Support_Bed_Plate, Type: MESH, Parent: DT_System_Root, Loc: <Vector (0.0000, 0.0000, 0.0097)>
